strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps
倒接力31,600686.SH,未知,2024-09-06,14.46,13.77,2024-09-09,-0.04771784232365154,-9522.0,False,12
倒接力31,000516.SZ,未知,2024-09-10,4.78,4.51,2024-09-11,-0.05648535564853566,-10746.0,False,228
倒接力31,003015.SZ,未知,2024-09-11,13.55,13.37,2024-09-12,-0.013284132841328523,-2376.0,False,30
倒接力31,002866.SZ,未知,2024-09-13,13.97,13.0,2024-09-18,-0.06943450250536869,-12222.0,False,6
倒接力31,002466.SZ,未知,2024-09-25,28.11,35.02,2024-09-30,0.2458199928850944,40078.00000000003,True,151
倒接力31,600239.SH,未知,2024-09-27,2.5,2.9,2024-09-30,0.15999999999999998,32800.0,True,170
倒接力31,002050.SZ,未知,2024-09-30,22.76,25.73,2024-10-08,0.13049209138840065,30887.99999999997,True,132
倒接力31,002119.SZ,未知,2024-10-09,13.85,13.83,2024-10-10,-0.0014440433212996083,-388.0,False,48
倒接力31,603052.SH,未知,2024-10-11,37.2,36.49,2024-10-14,-0.019086021505376364,-5112.0,False,151
倒接力31,000801.SZ,未知,2024-10-15,10.18,11.84,2024-10-17,0.16306483300589392,42828.0,True,903
倒接力31,002630.SZ,未知,2024-10-16,3.08,3.35,2024-10-17,0.08766233766233766,26838.0,True,82
倒接力31,000402.SZ,未知,2024-10-17,3.5,3.12,2024-10-18,-0.10857142857142854,-36138.0,False,26
倒接力31,002625.SZ,未知,2024-10-18,32.69,37.54,2024-10-22,0.1483634138880392,43650.0,True,385
倒接力31,600418.SH,未知,2024-10-21,34.0,35.49,2024-10-22,0.04382352941176476,14900.0,True,1234
倒接力31,600100.SH,未知,2024-10-22,7.2,7.39,2024-10-24,0.02638888888888882,9367.0,True,389
倒接力31,601162.SH,未知,2024-10-23,5.51,5.8,2024-10-24,0.05263157894736843,19198.0,True,961
倒接力31,000595.SZ,未知,2024-10-24,10.1,9.7,2024-10-25,-0.03960396039603964,-15200.0,False,2
倒接力31,002542.SZ,未知,2024-10-25,2.69,4.66,2024-10-31,0.7323420074349444,270087.0,True,-1
倒接力31,600696.SH,未知,2024-10-28,14.99,17.08,2024-10-29,0.13942628418945952,89033.99999999988,True,2258
倒接力31,002423.SZ,未知,2024-10-30,19.11,22.01,2024-10-31,0.15175300889586615,110200.00000000012,True,208
倒接力31,002321.SZ,未知,2024-10-31,2.19,2.36,2024-11-01,0.07762557077625568,65059.0,True,651
倒接力31,002513.SZ,未知,2024-11-01,5.4,6.14,2024-11-04,0.1370370370370369,123727.99999999988,True,342
倒接力31,002568.SZ,未知,2024-11-04,24.15,25.24,2024-11-05,0.045134575569358175,46325.00000000012,True,492
倒接力31,603019.SH,未知,2024-11-05,68.06,70.85,2024-11-06,0.04099324125771366,43803.0,True,46
倒接力31,600751.SH,未知,2024-11-06,3.18,3.06,2024-11-07,-0.03773584905660381,-42144.0,False,2
倒接力31,603489.SH,未知,2024-11-07,26.88,25.06,2024-11-08,-0.06770833333333334,-72618.0,False,1481
倒接力31,600536.SH,未知,2024-11-08,62.48,68.21,2024-11-11,0.09170934699103708,91680.0,True,718
倒接力31,002992.SZ,未知,2024-11-11,65.43,72.5,2024-11-12,0.10805440929237341,118069.0,True,1302
倒接力31,603009.SH,未知,2024-11-12,31.52,30.14,2024-11-13,-0.043781725888324845,-52992.0,False,28
倒接力31,000795.SZ,未知,2024-11-13,15.27,12.42,2024-11-14,-0.1866404715127701,-216315.0,False,4
倒接力31,002779.SZ,未知,2024-11-14,55.51,58.74,2024-11-15,0.05818771392541892,54587.0,True,37
倒接力31,600345.SH,未知,2024-11-18,27.17,26.65,2024-11-19,-0.019138755980861358,-19084.000000000116,False,2
倒接力31,002501.SZ,未知,2024-11-19,1.81,1.69,2024-11-20,-0.06629834254143652,-64848.0,False,2
倒接力31,600292.SH,未知,2024-11-20,15.0,14.99,2024-11-21,-0.0006666666666666524,-608.0,False,387
倒接力31,002392.SZ,未知,2024-11-21,4.84,4.73,2024-11-22,-0.02272727272727261,-20734.999999999884,False,113
倒接力31,002713.SZ,未知,2024-11-22,4.78,4.57,2024-11-25,-0.04393305439330543,-39186.0,False,12
倒接力31,603585.SH,未知,2024-11-25,13.73,15.85,2024-11-28,0.15440640932265107,131652.0,True,655
倒接力31,003021.SZ,未知,2024-12-02,78.0,80.46,2024-12-03,0.03153846153846146,30995.999999999884,True,418
倒接力31,600635.SH,未知,2024-12-03,4.63,4.51,2024-12-05,-0.025917926565874754,-26316.0,False,88
倒接力31,603669.SH,未知,2024-12-04,7.5,8.78,2024-12-05,0.17066666666666658,168704.0,True,208
倒接力31,000903.SZ,未知,2024-12-05,4.13,4.92,2024-12-06,0.19128329297820826,221437.0,True,579
倒接力31,600178.SH,未知,2024-12-06,13.54,13.82,2024-12-12,0.020679468242245286,28504.0,True,770
倒接力31,002403.SZ,未知,2024-12-09,16.06,20.9,2024-12-11,0.30136986301369867,423983.99999999977,True,151
倒接力31,603015.SH,未知,2024-12-11,13.42,12.04,2024-12-12,-0.10283159463487339,-188370.0,False,34
倒接力31,002495.SZ,未知,2024-12-12,3.16,3.08,2024-12-13,-0.025316455696202552,-41600.0,False,419
倒接力31,605388.SH,未知,2024-12-13,8.21,7.7,2024-12-16,-0.06211936662606585,-99501.00000000023,False,2
倒接力31,002402.SZ,未知,2024-12-16,21.98,20.41,2024-12-17,-0.07142857142857144,-107231.0,False,2
倒接力31,002529.SZ,未知,2024-12-17,10.35,9.4,2024-12-18,-0.0917874396135265,-127965.0,False,29
倒接力31,002181.SZ,未知,2024-12-18,8.88,10.12,2024-12-19,0.13963963963963946,176948.0,True,667
倒接力31,000788.SZ,未知,2024-12-19,7.1,6.81,2024-12-20,-0.04084507042253522,-58957.0,False,6
倒接力31,603629.SH,未知,2024-12-20,19.57,21.89,2024-12-23,0.11854879918242209,164024.0,True,770
倒接力31,002045.SZ,未知,2024-12-23,22.97,21.73,2024-12-24,-0.05398345668262945,-83576.0,False,16
倒接力31,603759.SH,未知,2024-12-24,8.48,8.31,2024-12-25,-0.020047169811320747,-29376.0,False,25
倒接力31,603719.SH,未知,2024-12-25,15.19,15.53,2024-12-26,0.02238314680710993,32130.0,True,2084
倒接力31,603711.SH,未知,2024-12-26,18.9,18.79,2024-12-27,-0.0058201058201057905,-8536.0,False,385
倒接力31,603236.SH,未知,2024-12-27,73.18,71.2,2024-12-30,-0.027056572834107732,-39402.00000000023,False,28
倒接力31,001258.SZ,未知,2024-12-30,8.5,8.19,2024-12-31,-0.03647058823529418,-51801.0,False,5
倒接力31,600398.SH,未知,2024-12-31,7.46,8.01,2025-01-02,0.07372654155495977,100870.0,True,170
倒接力31,002269.SZ,未知,2025-01-03,2.31,2.43,2025-01-06,0.05194805194805199,76332.0,True,50
倒接力31,002552.SZ,未知,2025-01-06,14.46,15.13,2025-01-07,0.04633471645919778,71623.0,True,46
倒接力31,601226.SH,未知,2025-01-07,7.53,7.35,2025-01-08,-0.0239043824701196,-38664.0,False,15
倒接力31,002187.SZ,未知,2025-01-08,7.37,7.68,2025-01-09,0.0420624151967435,66402.0,True,549
倒接力31,003021.SZ,未知,2025-01-09,78.47,94.77,2025-01-10,0.2077226965719383,340670.0,True,1690
倒接力31,002050.SZ,未知,2025-01-10,25.8,26.56,2025-01-13,0.029457364341085195,58444.0,True,76
倒接力31,002265.SZ,未知,2025-01-13,31.65,32.98,2025-01-16,0.04202211690363344,85785.0,True,46
倒接力31,002878.SZ,未知,2025-01-15,17.55,17.1,2025-01-17,-0.0256410256410256,-54584.99999999977,False,2
