strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps
高强中低开低吸强方向前2,002607.SZ,未知,2024-09-24,2.12,2.29,2024-09-25,0.08018867924528299,16031.0,True,2211
高强中低开低吸强方向前2,000158.SZ,未知,2024-09-27,12.25,17.56,2024-10-09,0.4334693877551019,93456.0,True,-1
高强中低开低吸强方向前2,603061.SH,未知,2024-10-22,83.0,80.8,2024-10-25,-0.026506024096385576,-8140.0,False,-1
高强中低开低吸强方向前2,002725.SZ,未知,2024-10-23,10.32,13.66,2024-10-28,0.32364341085271314,97528.0,True,14
高强中低开低吸强方向前2,600171.SH,未知,2024-10-28,40.72,49.81,2024-10-29,0.22323182711198436,88173.0,True,693
高强中低开低吸强方向前2,600355.SH,未知,2024-11-04,4.38,5.27,2024-11-05,0.2031963470319634,98879.0,True,207
高强中低开低吸强方向前2,002553.SZ,未知,2024-11-20,13.55,17.16,2024-11-21,0.266420664206642,155952.0,True,76
高强中低开低吸强方向前2,600345.SH,未知,2024-11-22,28.67,27.12,2024-11-25,-0.05406348099058251,-39990.0,False,7
高强中低开低吸强方向前2,002449.SZ,未知,2024-11-29,9.06,8.8,2024-12-04,-0.028697571743929336,-20124.0,False,-1
高强中低开低吸强方向前2,002137.SZ,未知,2024-12-02,7.32,9.05,2024-12-03,0.2363387978142077,161063.00000000012,True,15
高强中低开低吸强方向前2,002713.SZ,未知,2024-12-05,4.93,6.68,2024-12-09,0.3549695740365112,299075.0,True,142
高强中低开低吸强方向前2,002598.SZ,未知,2024-12-06,11.5,11.27,2024-12-11,-0.02000000000000004,-22816.0,False,-1
高强中低开低吸强方向前2,002681.SZ,未知,2024-12-09,7.58,10.18,2024-12-11,0.3430079155672823,383760.0,True,47
高强中低开低吸强方向前2,002717.SZ,未知,2024-12-10,3.97,4.13,2024-12-12,0.040302267002518814,60560.0,True,220
高强中低开低吸强方向前2,603825.SH,未知,2024-12-12,16.31,15.13,2024-12-13,-0.07234825260576322,-113043.99999999977,False,388
高强中低开低吸强方向前2,002861.SZ,未知,2024-12-13,13.67,15.43,2024-12-17,0.12874908558888074,186560.0,True,127
高强中低开低吸强方向前2,002313.SZ,未知,2024-12-16,10.7,11.96,2024-12-17,0.11775700934579454,192654.00000000023,True,15
高强中低开低吸强方向前2,600706.SH,未知,2024-12-17,13.05,11.53,2024-12-18,-0.11647509578544071,-212952.0,False,991
高强中低开低吸强方向前2,000681.SZ,未知,2024-12-18,27.7,30.29,2024-12-19,0.09350180505415162,150997.0,True,239
高强中低开低吸强方向前2,002878.SZ,未知,2024-12-26,18.7,17.25,2024-12-30,-0.07754010695187162,-137025.0,False,1
