strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps
首红断低吸1,002805.SZ,未知,2024-09-06,11.35,10.9,2024-09-10,-0.039647577092510954,-7920.0,False,-1
首红断低吸1,600686.SH,未知,2024-09-09,13.89,12.43,2024-09-11,-0.10511159107271424,-20148.0,False,440
首红断低吸1,002823.SZ,未知,2024-09-10,13.94,13.94,2024-09-11,0.0,0.0,False,1648
首红断低吸1,600272.SH,未知,2024-09-19,10.85,10.36,2024-09-23,-0.04516129032258066,-7742.0,False,-1
首红断低吸1,603607.SH,未知,2024-09-20,14.2,15.0,2024-09-24,0.056338028169014134,9200.0,True,-1
首红断低吸1,000815.SZ,未知,2024-09-23,8.15,8.49,2024-09-24,0.041717791411042926,7208.0,True,-1
首红断低吸1,002549.SZ,未知,2024-09-25,6.06,6.25,2024-09-26,0.03135313531353142,5662.0,True,1520
首红断低吸1,002130.SZ,未知,2024-10-16,16.38,17.37,2024-10-17,0.060439560439560565,11187.0,True,-1
首红断低吸1,002094.SZ,未知,2024-10-21,3.91,5.7,2024-10-23,0.4578005115089514,90216.0,True,-1
首红断低吸1,600171.SH,未知,2024-10-28,40.72,49.98,2024-10-29,0.22740667976424359,64820.0,True,688
首红断低吸1,000158.SZ,未知,2024-10-30,30.67,34.78,2024-11-01,0.13400717313335506,46854.0,True,272
首红断低吸1,002565.SZ,未知,2024-11-07,3.8,3.91,2024-11-08,0.028947368421052718,11550.0,True,848
首红断低吸1,603336.SH,未知,2024-11-08,5.6,5.15,2024-11-12,-0.08035714285714274,-32985.0,False,-1
首红断低吸1,603068.SH,未知,2024-11-12,30.21,32.07,2024-11-14,0.06156901688182719,23250.0,True,1072
首红断低吸1,600787.SH,未知,2024-11-14,5.94,7.3,2024-11-18,0.22895622895622886,91800.0,True,-1
首红断低吸1,002403.SZ,未知,2024-11-19,9.99,12.88,2024-11-21,0.2892892892892893,142477.0,True,224
首红断低吸1,600327.SH,未知,2024-11-20,4.56,5.51,2024-11-21,0.2083333333333334,132335.0,True,641
首红断低吸1,603110.SH,未知,2024-11-21,16.83,17.52,2024-11-22,0.04099821746880578,31464.000000000116,True,-1
首红断低吸1,600345.SH,未知,2024-11-22,28.67,27.2,2024-11-26,-0.05127310777816541,-40866.0,False,417
首红断低吸1,603138.SH,未知,2024-11-25,18.18,16.15,2024-11-26,-0.11166116611661173,-84651.00000000012,False,-1
首红断低吸1,600119.SH,未知,2024-11-27,10.02,10.16,2024-11-28,0.01397205588822361,9408.0,True,352
首红断低吸1,002582.SZ,未知,2024-11-28,7.35,8.39,2024-11-29,0.1414965986394559,96616.0,True,-1
首红断低吸1,001228.SZ,未知,2024-12-02,24.19,24.2,2024-12-03,0.0004133939644480368,322.0,True,832
首红断低吸1,002154.SZ,未知,2024-12-03,4.78,4.53,2024-12-05,-0.05230125523012552,-40775.0,False,-1
首红断低吸1,000759.SZ,未知,2024-12-04,4.61,5.73,2024-12-05,0.24295010845986986,179536.00000000012,True,1376
首红断低吸1,002598.SZ,未知,2024-12-06,11.5,11.46,2024-12-10,-0.0034782608695651434,-3191.9999999998836,False,-1
首红断低吸1,603662.SH,未知,2024-12-09,65.21,82.0,2024-12-11,0.2574758472626899,235060.00000000012,True,2016
首红断低吸1,603516.SH,未知,2024-12-10,52.51,52.08,2024-12-12,-0.00818891639687678,-9417.0,False,-1
首红断低吸1,002269.SZ,未知,2024-12-12,2.56,2.89,2024-12-16,0.12890625000000003,147114.0,True,944
首红断低吸1,000610.SZ,未知,2024-12-17,15.77,14.67,2024-12-18,-0.06975269499048825,-89760.0,False,417
首红断低吸1,001389.SZ,未知,2024-12-18,46.99,50.56,2024-12-19,0.07597361140668228,91035.0,True,176
首红断低吸1,002235.SZ,未知,2024-12-19,7.2,6.33,2024-12-20,-0.12083333333333335,-155817.0,False,-1
