date,code,strategy_name,sub_strategy_name,return,max_return,first_return,top2_return,top3_return,position,codes_num,trendScore,shortLineScore,shortLineScoreChange
2024-08-01,603032,接力,一进二弱转强,0.0007204610951008491,0.0007204610951008491,0.0007204610951008491,0.0007204610951008491,0.0007204610951008491,1.0,1,70.57,32.01,-2.99
2024-08-01,"002979,603728",接力,一进二中弱转强,0.0018982886729018971,0.013526570048309233,0.013526570048309233,0.0018982886729018971,0.0018982886729018971,1.0,2,-121.9,-111.71,-0.1
2024-08-01,,接力,中高位弱转强,0.0,0.0,0.0,0.0,0.0,1.0,0,-83.47,-81.03,-0.53
2024-08-01,,接力,中高位中弱转强,0.0,0.0,0.0,0.0,0.0,1.0,0,-57.27,-71.8,-57.05
2024-08-01,"600830,601929",接力,倒接力,-0.027603174603174626,-0.02742857142857145,-0.02742857142857145,-0.027603174603174626,-0.027603174603174626,1.0,2,-71.98,-42.32,-24.78
2024-08-01,000880,接力,中高位连板打板,0.1202185792349727,0.1202185792349727,0.1202185792349727,0.1202185792349727,0.1202185792349727,1.0,1,-69.98,38.94,5.85
2024-08-01,,接力,一进二打板,0.0,0.0,0.0,0.0,0.0,1.0,0,-189.54,-133.72,-3.53
2024-08-01,,接力,N半23,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
2024-08-01,,接力,N半,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
2024-08-01,"601188,600561",接力,N,0.0910964912280702,0.16885964912280713,0.013333333333333286,0.0910964912280702,0.0910964912280702,1.0,2,10.64,44.09,46.86
2024-08-01,,接力,孕线,0.0,0.0,0.0,0.0,0.0,1.0,0,-18.61,3.04,58.04
2024-08-01,,接力,首板打板,0.0,0.0,0.0,0.0,0.0,1.0,0,-150.31,-84.73,-22.26
2024-08-01,,接力,最高倒接力,0.0,0.0,0.0,0.0,0.0,1.0,0,-24.33,22.61,-0.2
2024-08-01,,接力,高位倒接力,0.0,0.0,0.0,0.0,0.0,1.0,0,-34.59,-22.43,-0.1
2024-08-01,600830,接力,中位倒接力,-0.02742857142857145,-0.02742857142857145,-0.02742857142857145,-0.02742857142857145,-0.02742857142857145,1.0,1,-40.79,-38.77,-0.5
2024-08-01,,接力,低位倒接力,0.0,0.0,0.0,0.0,0.0,1.0,0,-88.84,-57.26,-25.6
2024-08-01,601929,接力,下跌倒接力,-0.0277777777777778,-0.0277777777777778,-0.0277777777777778,-0.0277777777777778,-0.0277777777777778,1.0,1,-26.4,10.97,-4.33
2024-08-01,,接力,最高弱板倒接力,0.0,0.0,0.0,0.0,0.0,1.0,0,-32.69,15.98,-0.23
2024-08-01,,接力,高位弱板倒接力,0.0,0.0,0.0,0.0,0.0,1.0,0,-34.59,-22.43,-0.1
2024-08-01,600830,接力,中位弱板倒接力,-0.02742857142857145,-0.02742857142857145,-0.02742857142857145,-0.02742857142857145,-0.02742857142857145,1.0,1,-68.51,-74.64,-0.48
2024-08-01,,接力,低位弱板倒接力,0.0,0.0,0.0,0.0,0.0,1.0,0,-87.64,-66.35,-24.59
2024-08-01,000880,接力,二进三以上弱转强,0.1202185792349727,0.1202185792349727,0.1202185792349727,0.1202185792349727,0.1202185792349727,1.0,1,-57.26,-71.8,-57.05
2024-08-02,"002703,000518",接力,一进二弱转强,-0.005098595353862836,0.041666666666666595,-0.051863857374392267,-0.005098595353862836,-0.005098595353862836,0.927208,2,68.49,41.56,9.55
2024-08-02,,接力,一进二中弱转强,0.0,0.0,0.0,0.0,0.0,0.927208,0,-131.52,-113.05,-1.34
2024-08-02,,接力,中高位弱转强,0.0,0.0,0.0,0.0,0.0,0.927208,0,-83.93,-81.56,-0.53
2024-08-02,,接力,中高位中弱转强,0.0,0.0,0.0,0.0,0.0,0.927208,0,-48.9,-59.65,12.15
2024-08-02,"002196,600843,002805",接力,倒接力,0.001119195740236845,0.04938271604938276,-0.013861386138613742,0.01776066495538451,0.001119195740236845,0.927208,3,-82.96,-55.37,-13.05
2024-08-02,"000880,600721",接力,中高位连板打板,-0.0076263155269589294,0.13190184049079762,-0.14715447154471548,-0.0076263155269589294,-0.0076263155269589294,0.927208,2,-54.96,54.65,15.71
2024-08-02,,接力,一进二打板,0.0,0.0,0.0,0.0,0.0,0.927208,0,-191.3,-137.26,-3.54
2024-08-02,,接力,N半23,0.0,0.0,0.0,0.0,0.0,0.927208,0,0.0,0.0,0.0
2024-08-02,,接力,N半,0.0,0.0,0.0,0.0,0.0,0.927208,0,0.0,0.0,0.0
2024-08-02,"603082,002611,002682,002355,603106,603686,002144,002059,002313",接力,N,-0.01401290546522354,0.08086785009861935,0.033477991320520935,-0.015420269270826816,-0.004903835427863017,0.927208,9,26.14,61.57,17.48
2024-08-02,"003026,002869,002979,600444,600686",接力,孕线,0.008823871457394215,0.07260524710189126,0.051211072664359876,-0.0017981592519102606,-0.006441861490469596,0.927208,5,-17.09,1.4,-1.64
2024-08-02,600721,接力,首板打板,0.13190184049079762,0.13190184049079762,0.13190184049079762,0.13190184049079762,0.13190184049079762,0.927208,1,-153.15,-96.86,-12.13
2024-08-02,,接力,最高倒接力,0.0,0.0,0.0,0.0,0.0,0.927208,0,-33.41,-9.06,-31.67
2024-08-02,,接力,高位倒接力,0.0,0.0,0.0,0.0,0.0,0.927208,0,-34.72,-22.54,-0.11
2024-08-02,"002196,600843",接力,中位倒接力,0.01776066495538451,0.04938271604938276,-0.013861386138613742,0.01776066495538451,0.01776066495538451,0.927208,2,-50.24,-47.11,-8.34
2024-08-02,002805,接力,低位倒接力,-0.032163742690058485,-0.032163742690058485,-0.032163742690058485,-0.032163742690058485,-0.032163742690058485,0.927208,1,-88.0,-61.3,-4.04
2024-08-02,,接力,下跌倒接力,0.0,0.0,0.0,0.0,0.0,0.927208,0,-47.06,-27.45,-38.42
2024-08-02,,接力,最高弱板倒接力,0.0,0.0,0.0,0.0,0.0,0.927208,0,-41.81,-15.73,-31.71
2024-08-02,,接力,高位弱板倒接力,0.0,0.0,0.0,0.0,0.0,0.927208,0,-34.72,-22.54,-0.11
2024-08-02,600843,接力,中位弱板倒接力,0.04938271604938276,0.04938271604938276,0.04938271604938276,0.04938271604938276,0.04938271604938276,0.927208,1,-77.22,-82.18,-7.54
2024-08-02,002805,接力,低位弱板倒接力,-0.032163742690058485,-0.032163742690058485,-0.032163742690058485,-0.032163742690058485,-0.032163742690058485,0.927208,1,-85.14,-68.67,-2.32
2024-08-02,,接力,二进三以上弱转强,0.0,0.0,0.0,0.0,0.0,0.927208,0,-48.9,-59.64,12.16
2024-08-05,,接力,一进二弱转强,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,67.72,45.06,3.5
2024-08-05,,接力,一进二中弱转强,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,-128.48,-106.88,6.17
2024-08-05,,接力,中高位弱转强,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,-21.63,-6.91,74.65
2024-08-05,,接力,中高位中弱转强,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,-31.92,-58.35,1.3
2024-08-05,001358,接力,倒接力,-0.009915014164305989,-0.009915014164305989,-0.009915014164305989,-0.009915014164305989,-0.009915014164305989,0.6751400000000001,1,-73.01,-61.05,-5.68
2024-08-05,000980,接力,中高位连板打板,0.17021276595744697,0.17021276595744697,0.17021276595744697,0.17021276595744697,0.17021276595744697,0.6751400000000001,1,-34.32,76.92,22.27
2024-08-05,,接力,一进二打板,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,-190.61,-137.43,-0.17
2024-08-05,,接力,N半23,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,0.0,0.0,0.0
2024-08-05,,接力,N半,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,0.0,0.0,0.0
2024-08-05,"600684,000626,603375,600579,002703,002535,002670,605001,603686,002760",接力,N,-0.015531156900715142,0.044736842105263235,-0.030201342281879148,-0.04281429700699041,-0.013630583969572528,0.6751400000000001,10,29.6,46.86,-14.71
2024-08-05,"600684,001367,002232,603686",接力,孕线,-0.03535105739094078,0.002553191489361648,-0.030201342281879148,-0.01382407539625875,-0.03402225181456007,0.6751400000000001,4,-22.08,-14.1,-15.5
2024-08-05,"000679,002278",接力,首板打板,0.17170509837106002,0.19310344827586226,0.15030674846625774,0.17170509837106002,0.17170509837106002,0.6751400000000001,2,-149.32,-96.29,0.57
2024-08-05,,接力,最高倒接力,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,-36.72,-14.05,-4.99
2024-08-05,,接力,高位倒接力,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,-34.84,-22.65,-0.11
2024-08-05,,接力,中位倒接力,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,-46.85,-44.35,2.76
2024-08-05,001358,接力,低位倒接力,-0.009915014164305989,-0.009915014164305989,-0.009915014164305989,-0.009915014164305989,-0.009915014164305989,0.6751400000000001,1,-96.07,-82.85,-21.55
2024-08-05,,接力,下跌倒接力,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,-40.95,-35.83,-8.38
2024-08-05,,接力,最高弱板倒接力,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,-41.96,-15.78,-0.05
2024-08-05,,接力,高位弱板倒接力,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,-34.84,-22.65,-0.11
2024-08-05,,接力,中位弱板倒接力,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,-59.86,-60.96,21.22
2024-08-05,001358,接力,低位弱板倒接力,-0.009915014164305989,-0.009915014164305989,-0.009915014164305989,-0.009915014164305989,-0.009915014164305989,0.6751400000000001,1,-95.7,-85.24,-16.57
2024-08-05,,接力,二进三以上弱转强,0.0,0.0,0.0,0.0,0.0,0.6751400000000001,0,-31.92,-58.35,1.29
2024-08-06,"600843,600095,600778",接力,一进二弱转强,-0.06592479641471279,0.07710280373831777,-0.18421052631578946,-0.13743859649122805,-0.06592479641471279,0.5511619999999999,3,75.57,39.22,-5.84
2024-08-06,605098,接力,一进二中弱转强,0.01759133964817317,0.01759133964817317,0.01759133964817317,0.01759133964817317,0.01759133964817317,0.5511619999999999,1,-129.01,-92.94,13.94
2024-08-06,,接力,中高位弱转强,0.0,0.0,0.0,0.0,0.0,0.5511619999999999,0,0.27,70.87,77.78
2024-08-06,,接力,中高位中弱转强,0.0,0.0,0.0,0.0,0.0,0.5511619999999999,0,-32.11,-58.69,-0.34
