ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma60,return,amplitude,turnover,turnover_rate,volume_ratio,price_change_5d,price_change_10d,ma_arrangement,box_size,is_yang,is_yin,yang_count_7d,yin_count_7d,adx,boll_width,gap_up,gap_down,high_drawdown,high_drawdown_flag,volatility_5d,atr,range,range_change,limit_up,limit_down,limit_up_count_7d,one_word_limit,t_limit,limit_up_open,failed_limit_up,trend_pullback,pullback_ratio,one_word_count_7d,yesterday_is_yang,yesterday_box_size,yesterday_high_drawdown,yesterday_one_word_limit,yesterday_t_limit,yesterday_failed_limit,yesterday_volume_ratio,yesterday_volume_up,yesterday_volume_down,ma5_slope,yesterday_trend_reversal,trend_slope_20d,is_trend_pullback,pullback_from_high,pullback_from_low,long_consolidation,breakout_high,consolidation_breakout,bottom_limit_up,bottom_limit_up_volume
600519.SH,20230103,1731.2,1738.43,1706.01,1730.01,1727.0,3.01,0.1743,26033.8,4487760.231,,,,,,1.8772437753329516,,,,,,0,0.018772437753329516,0,1,,,,,0,0,0.4843450699769374,0,,,,,0,0,,0,0,0,0,0,,,,,,,,,,0,0,,0,,0,,,0,0,0,0,0
600519.SH,20230104,1730.0,1738.7,1716.0,1725.01,1730.01,-5.0,-0.289,20415.75,3523582.306,,,,,-0.002890156704296487,1.312131143750617,,,,,,0,0.013121311437506169,0,1,,,,,0,0,0.7873698740438289,0,,,0.013121311437506169,,0,0,,0,0,0,0,0,,,0.0,0.018772437753329516,0.0,0.0,0.0,0.0,,0,0,,0,,0,,,0,0,0,0,0
600519.SH,20230105,1737.0,1801.0,1733.0,1801.0,1725.01,75.99,4.4052,47942.85,8541587.089,,,,,0.044051918539602664,3.942006133297778,,,,,,0,0.03942006133297778,1,0,,,,,0,0,0.0,0,,,0.03942006133297778,2.004277546549108,0,0,,0,0,0,0,0,,,0.0,0.013121311437506169,0.0,0.0,0.0,0.0,,0,0,,0,,0,,,0,0,0,0,0
600519.SH,20230106,1806.12,1811.9,1787.0,1803.77,1801.0,2.77,0.1538,24903.75,4480838.898,,,,,0.0015380344253193012,1.3825652415324872,,,,,,0,0.01382565241532487,0,1,,,,,0,0,0.44870025939621994,0,,,0.01382565241532487,-0.6492736959858889,0,0,,0,0,0,0,0,,,1.0,0.03942006133297778,0.0,0.0,0.0,0.0,,0,0,,0,,0,,,0,0,0,0,0
600519.SH,20230109,1835.0,1849.98,1807.82,1841.2,1803.77,37.43,2.0751,30977.23,5684181.147,1780.1979999999999,,,,0.020750982664086814,2.337326821047034,,,1.0306958557796464,,,0,0.023373268210470338,1,0,,,,,0,0,0.4745997254024353,0,,,0.023373268210470338,0.6905725320103182,0,0,,0,0,0,0,0,0.0391990104471526,,0.0,0.01382565241532487,0.0,0.0,0.0,0.0,,0,0,,0,,0,,,0,0,0,0,0
600519.SH,20230110,1839.06,1864.5,1830.5,1854.45,1841.2,13.25,0.7196,22731.73,4204783.734,1805.086,,,,0.007196393656311084,1.8466217684119053,,,0.7733390278687725,0.07193022005653149,,0,0.018466217684119053,1,0,,,,,0,0,0.539018503620271,0,0.3007241948518762,,0.018466217684119053,-0.20994284933388618,0,0,,0,0,0,0,0,0.03291477525170545,,1.0,0.023373268210470338,0.0,0.0,0.0,0.0,1.0306958557796464,0,0,24.888000000000147,0,,0,,,0,0,0,0,0
600519.SH,20230111,1856.0,1860.0,1836.84,1844.95,1854.45,-9.5,-0.5123,22720.31,4201487.773,1829.0739999999998,,,,-0.005122812693790557,1.2488878104020102,,,0.7610175040346441,0.0695300317099612,,0,0.012488878104020103,0,1,3.0,4.0,,,0,0,0.8091397849462341,0,0.30898888869296515,,0.012488878104020103,-0.3236905186728878,0,0,0.0,0,0,0,0,0,0.016908009189349454,0.0,1.0,0.018466217684119053,0.0,0.0,0.0,0.0,0.7733390278687725,0,0,23.98799999999983,0,,0,,,0,0,0,0,0
600519.SH,20230112,1848.0,1856.0,1833.0,1834.0,1844.95,-10.95,-0.5935,17193.17,3162637.136,1835.6739999999998,,,,-0.005935120192959165,1.2466462505758964,,,0.7252899127188682,0.018323153803442516,,0,0.012466462505758964,0,1,3.0,4.0,,,0,0,1.1853448275862069,0,0.17359037230652682,,0.012466462505758964,-0.001794844827088582,0,0,0.0,0,0,0,0,0,0.011072772180681456,0.0,0.0,0.012488878104020103,0.0,0.0,0.0,0.0,0.7610175040346441,0,0,6.599999999999909,0,,0,,,0,0,0,0,0
600519.SH,20230113,1844.18,1888.0,1840.0,1887.0,1834.0,53.0,2.8899,31939.65,5969876.222,1852.3200000000002,,,,0.02889858233369691,2.6172300981461287,,,1.2718667712523741,0.04614224651701715,,0,0.026172300981461286,1,0,4.0,3.0,,,0,0,0.05296610169491525,0,0.24588577911618484,,0.026172300981461286,1.099416812858565,0,0,0.0,0,0,0,0,0,0.019262330482853845,0.0,0.0,0.012466462505758964,0.0,0.0,0.0,0.0,0.7252899127188682,0,0,16.646000000000413,0,,0,,,0,0,0,0,0
600519.SH,20230116,1886.0,1935.0,1881.0,1912.9,1887.0,25.9,1.3725,36848.26,7059982.64,1866.6600000000003,1823.429,,,0.013725490196078383,2.8616852146263914,,,1.4017874642251513,0.03894199435150991,,0,0.028616852146263912,1,0,4.0,3.0,,,0,0,1.1421188630490908,0,0.22953178238843097,,0.028616852146263912,0.09340222575516699,0,0,0.0,0,0,0,0,0,0.03661084503873211,0.0,1.0,0.026172300981461286,0.0,0.0,0.0,0.0,1.2718667712523741,0,0,14.340000000000146,0,,0,,,0,0,0,0,0
600519.SH,20230117,1913.16,1923.0,1895.0,1908.0,1912.9,-4.9,-0.2562,21299.23,4068321.409,1877.3700000000001,1841.2280000000003,,,-0.002561555753045175,1.4637461445972084,,,0.8191972469054378,0.028876486289735492,0.10288379835954697,0,0.014637461445972083,0,1,4.0,3.0,,,0,0,0.7800312012480499,0,0.24117949090404855,,0.014637461445972083,-0.4885020416935312,0,0,0.0,0,0,0,0,0,0.02430527812844558,0.0,1.0,0.028616852146263912,0.0,0.0,0.0,0.0,1.4017874642251513,0,0,10.709999999999809,0,,0,,,0,0,0,0,0
600519.SH,20230118,1914.0,1925.3,1890.0,1893.0,1908.0,-15.0,-0.7862,21062.93,4008665.438,1886.98,1858.027,,,-0.00786163522012584,1.8501048218029326,,,0.8205702925997505,0.026044066234857333,0.0973849426959843,0,0.018501048218029326,0,1,3.0,4.0,,,0,0,1.6776606243182859,0,0.2496303115284091,,0.018501048218029326,0.26395196915243924,0,0,0.0,0,0,0,0,0,0.020307581426406183,0.0,0.0,0.014637461445972083,0.0,0.0,0.0,0.0,0.8191972469054378,0,0,9.6099999999999,0,,0,,,0,0,0,0,0
600519.SH,20230119,1892.5,1892.52,1866.0,1880.21,1893.0,-12.79,-0.6756,23438.89,4401994.437,1896.2220000000002,1865.9479999999999,,,-0.006756471209720005,1.4009508716323287,,,0.8707582702177059,0.025196292257360975,0.04398112159911172,0,0.014009508716323288,0,1,2.0,5.0,,,0,0,0.6504554773529445,0,0.2520062896537627,,0.014009508716323288,-0.24277216343498964,0,0,0.0,0,0,0,0,0,-0.0019523030531236453,0.0,0.0,0.018501048218029326,0.0,0.0,0.0,0.0,0.8205702925997505,0,0,9.24200000000019,0,,0,,,0,0,0,0,0
600519.SH,20230120,1889.19,1898.25,1858.0,1860.01,1880.21,-20.2,-1.0743,25608.75,4807356.071,1890.8239999999998,1871.5720000000001,,,-0.010743480781402082,2.1407183240169982,,,0.998329071872754,-0.01430312665606781,0.031179141464820814,0,0.02140718324016998,0,1,2.0,5.0,,,0,0,2.0144870275253526,0,0.1542185299307089,,0.02140718324016998,0.528046676984985,0,0,0.0,0,0,0,0,0,0.003927388270933815,0.0,0.0,0.014009508716323288,0.0,0.0,0.0,0.0,0.8707582702177059,0,0,-5.398000000000366,0,,0,,,0,0,0,0,0
600519.SH,20230130,1909.0,1909.0,1880.0,1888.0,1860.01,27.99,1.5048,35922.55,6799756.571,1885.8440000000003,1876.2519999999997,,,0.015048306191902228,1.5591314025193415,,,1.4105822283182554,-0.013016885357310937,0.025418205518140224,0,0.015591314025193414,0,1,2.0,5.0,,,0,0,1.1000523834468308,0,0.16319472661692347,38.39285714285716,0.015591314025193414,-0.2716783964395302,0,0,0.0,0,0,0,0,0,0.01227885233349085,0.0,0.0,0.02140718324016998,0.0,0.0,0.0,0.0,0.998329071872754,0,0,-4.979999999999563,1,,0,,,0,0,0,0,0
600519.SH,20230131,1896.5,1899.95,1833.07,1845.76,1888.0,-42.24,-2.2373,32990.68,6128311.548,1873.396,1875.3830000000003,,,-0.022372881355932184,3.5423728813559383,,,1.1865119497524883,-0.03262054507337531,-0.004686025506214775,0,0.03542372881355938,0,1,1.0,6.0,,,0,0,2.8521803205347536,0,0.2153612475577991,40.42765306122452,0.03542372881355938,1.2720168907071923,0,0,0.0,0,0,0,0,0,0.014174258939380723,0.0,0.0,0.015591314025193414,0.0,0.0,0.0,0.0,1.4105822283182554,0,0,-12.44800000000032,0,,0,,,0,0,0,0,0
600519.SH,20230201,1854.98,1859.0,1811.4,1844.97,1845.76,-0.79,-0.0428,33973.89,6244678.925,1863.7900000000002,1875.3850000000002,,,-0.00042800797503461663,2.578883495145626,,,1.1180420464678391,-0.025372424722662434,1.0840402178802222e-05,0,0.02578883495145626,0,1,0.0,7.0,,,0,0,0.754706831629907,0,0.21891785335765704,40.93996355685133,0.02578883495145626,-0.27198982672922634,0,0,0.0,0,0,0,0,0,-0.0025700320315057974,0.0,0.0,0.03542372881355938,0.0,0.0,0.0,0.0,1.1865119497524883,0,0,-9.605999999999767,0,,0,,,0,0,0,0,0
600519.SH,20230202,1848.38,1859.0,1826.0,1836.11,1844.97,-8.86,-0.4802,29758.86,5465509.51,1854.97,1875.596,,,-0.004802246106982877,1.788646969869429,,,0.9402202385988715,-0.02345482685444722,0.0011504907306434387,0,0.01788646969869429,0,1,0.0,7.0,,,0,0,1.2313071543840828,0,0.2183974365980205,40.37282330279053,0.01788646969869429,-0.3064258338012178,0,0,0.0,0,0,0,0,0,0.0021725418739925568,0.0,0.0,0.02578883495145626,0.0,0.0,0.0,0.0,1.1180420464678391,0,0,-8.820000000000164,0,,0,,,0,0,0,0,0
600519.SH,20230203,1820.0,1826.0,1795.68,1818.0,1836.11,-18.11,-0.9863,34944.9,6324635.031,1846.568,1868.696,,,-0.0098632434875906,1.6513171868787784,,,1.0425656813783661,-0.022585900075806076,-0.0365659777424483,0,0.016513171868787785,0,1,0.0,7.0,,,0,0,0.43811610076670315,0,0.21693716924086723,40.376907352591196,0.016513171868787785,-0.07677858476492738,0,0,0.0,0,0,0,0,0,-0.01113850126288335,0.0,0.0,0.01788646969869429,0.0,0.0,0.0,0.0,0.9402202385988715,0,0,-8.402000000000044,0,,0,,,0,0,0,0,0
600519.SH,20230206,1780.0,1795.0,1760.0,1795.0,1818.0,-23.0,-1.2651,42660.95,7595739.044,1827.968,1856.9059999999997,1840.1675,,-0.0126512651265126,1.9251925192519255,1.4625738981845793,1.4625738982347216,1.2235738597669878,-0.049258474576271194,-0.06163416801714683,0,0.019251925192519254,1,0,1.0,6.0,,0.10899394728397623,0,1,0.0,0,0.13252433622840581,41.63569968454897,0.019251925192519254,0.1658526505684894,0,0,0.0,0,0,0,0,0,-0.018035326657797113,0.0,0.0,0.016513171868787785,0.0,0.0,0.0,0.0,1.0425656813783661,0,0,-18.59999999999991,0,3.443285714285715,0,0.06163416801714679,,0,0,0,0,0
600519.SH,20230207,1808.08,1808.8,1787.73,1797.0,1795.0,2.0,0.1114,24321.71,4373671.735,1818.216,1845.8059999999998,1843.5169999999998,,0.0011142061281337323,1.1738161559888545,0.8362918400766098,0.8362918401053655,0.7340838007607254,-0.026417302357836348,-0.05817610062893086,0,0.011738161559888544,0,1,1.0,6.0,,0.09677779896266042,0,0,0.652366209641749,0,0.09391049011555376,40.16672113565261,0.011738161559888544,-0.39028635097493225,0,0,0.0,0,0,0,0,0,-0.005178702640390328,0.0,1.0,0.019251925192519254,0.0,0.0,0.0,0.0,1.2235738597669878,0,0,-9.75200000000018,0,1.0872781954887194,0,0.06058863505672021,,0,0,0,0,0
