股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603004.SH,,2024-09-03,19.44,19.24,-1.03%,-2040.00,否
603920.SH,,2024-09-06,22.72,21.45,-5.59%,-11049.00,否
000516.SZ,,2024-09-10,4.78,4.52,-5.44%,-10166.00,否
003015.SZ,,2024-09-11,13.55,12.75,-5.90%,-10400.00,否
002866.SZ,,2024-09-13,13.97,13.09,-6.30%,-10472.00,否
002466.SZ,,2024-09-25,28.11,28.07,-0.14%,-220.00,否
603345.SH,,2024-09-27,86.77,99.34,14.49%,21369.00,是
002050.SZ,,2024-09-30,22.76,25.48,11.95%,20944.00,是
002119.SZ,,2024-10-09,13.85,13.65,-1.44%,-2840.00,否
603052.SH,,2024-10-11,37.20,35.68,-4.09%,-7904.00,否
600601.SH,,2024-10-15,3.55,3.45,-2.82%,-5270.00,否
002630.SZ,,2024-10-16,3.08,3.18,3.25%,5900.00,是
603053.SH,,2024-10-17,10.15,9.53,-6.11%,-11470.00,否
002625.SZ,,2024-10-18,32.69,36.85,12.73%,22048.00,是
600418.SH,,2024-10-21,34.00,35.60,4.71%,9280.00,是
600100.SH,,2024-10-22,7.20,7.61,5.69%,11808.00,是
601162.SH,,2024-10-23,5.51,5.71,3.63%,7960.00,是
000595.SZ,,2024-10-24,10.10,10.12,0.20%,450.00,是
002542.SZ,,2024-10-25,2.69,3.18,18.22%,41503.00,是
600696.SH,,2024-10-28,14.99,17.39,16.01%,42960.00,是
002423.SZ,,2024-10-30,19.11,22.63,18.42%,57376.00,是
002321.SZ,,2024-10-31,2.19,2.33,6.39%,23632.00,是
000839.SZ,,2024-11-01,3.77,3.42,-9.28%,-36505.00,否
002568.SZ,,2024-11-04,24.15,25.38,5.09%,18081.00,是
603019.SH,,2024-11-05,68.06,71.67,5.30%,19855.00,是
600862.SH,,2024-11-06,28.26,26.69,-5.56%,-21823.00,否
603489.SH,,2024-11-07,26.88,25.10,-6.62%,-24564.00,否
605218.SH,,2024-11-08,29.20,33.00,13.01%,45220.00,是
002992.SZ,,2024-11-11,65.43,71.15,8.74%,34320.00,是
603009.SH,,2024-11-12,31.52,30.24,-4.06%,-17280.00,否
000795.SZ,,2024-11-13,15.27,10.84,-29.01%,-118724.00,否
002779.SZ,,2024-11-14,55.51,58.70,5.75%,16588.00,是
603039.SH,,2024-11-18,58.50,56.00,-4.27%,-13000.00,否
002501.SZ,,2024-11-19,1.81,1.75,-3.31%,-9792.00,否
600292.SH,,2024-11-20,15.00,14.53,-3.13%,-8930.00,否
002402.SZ,,2024-11-21,21.99,22.70,3.23%,8875.00,是
002713.SZ,,2024-11-22,4.78,4.58,-4.18%,-11940.00,否
603585.SH,,2024-11-25,13.73,15.10,9.98%,27263.00,是
003021.SZ,,2024-12-02,78.00,81.00,3.85%,11400.00,是
600515.SH,,2024-12-03,4.30,4.07,-5.35%,-16698.00,否
603669.SH,,2024-12-04,7.50,8.47,12.93%,38218.00,是
000903.SZ,,2024-12-05,4.13,4.92,19.13%,63832.00,是
603489.SH,,2024-12-06,28.03,27.97,-0.21%,-846.00,否
002403.SZ,,2024-12-09,16.06,19.00,18.31%,72618.00,是
603015.SH,,2024-12-11,13.42,12.78,-4.77%,-22336.00,否
000882.SZ,,2024-12-12,2.53,2.78,9.88%,44175.00,是
605388.SH,,2024-12-13,8.21,7.56,-7.92%,-38870.00,否
002402.SZ,,2024-12-16,21.98,21.40,-2.64%,-11890.00,否
002529.SZ,,2024-12-17,10.35,9.63,-6.96%,-30600.00,否
002181.SZ,,2024-12-18,8.88,10.09,13.63%,55781.00,是
603986.SH,,2024-12-19,106.20,113.75,7.11%,32465.00,是
603629.SH,,2024-12-20,19.57,20.91,6.85%,34036.00,是
002045.SZ,,2024-12-23,22.97,21.29,-7.31%,-38808.00,否
603759.SH,,2024-12-24,8.48,8.15,-3.89%,-19173.00,否
603719.SH,,2024-12-25,15.19,15.70,3.36%,15912.00,是
603711.SH,,2024-12-26,18.90,18.61,-1.53%,-7511.00,否
603236.SH,,2024-12-27,73.18,71.46,-2.35%,-11180.00,否
001258.SZ,,2024-12-30,8.50,8.27,-2.71%,-12742.00,否
600398.SH,,2024-12-31,7.46,7.80,4.56%,20910.00,是
000882.SZ,,2025-01-03,2.32,2.33,0.43%,2067.00,是
002552.SZ,,2025-01-06,14.46,15.03,3.94%,18981.00,是
601226.SH,,2025-01-07,7.53,7.53,0.00%,0.00,否
002484.SZ,,2025-01-08,19.31,22.22,15.07%,75369.00,是
003021.SZ,,2025-01-09,78.47,93.91,19.68%,112712.00,是
002050.SZ,,2025-01-10,25.80,26.19,1.51%,10413.00,是
002265.SZ,,2025-01-13,31.65,28.31,-10.55%,-73480.00,否
002815.SZ,,2025-01-15,10.90,10.65,-2.29%,-14350.00,否
603270.SH,,2025-01-16,21.57,20.93,-2.97%,-18112.00,否
600183.SH,,2025-01-20,28.44,29.18,2.60%,15392.00,是
002718.SZ,,2025-01-23,15.99,15.81,-1.13%,-6840.00,否
600184.SH,,2025-01-24,11.17,10.66,-4.57%,-27438.00,否
001282.SZ,,2025-01-27,27.35,26.60,-2.74%,-15750.00,否
002394.SZ,,2025-02-05,8.24,8.00,-2.91%,-16272.00,否
000503.SZ,,2025-02-06,10.86,11.76,8.29%,44910.00,是
600114.SH,,2025-02-07,20.96,20.54,-2.00%,-11760.00,否
603612.SH,,2025-02-10,16.38,16.75,2.26%,12987.00,是
600979.SH,,2025-02-11,5.16,5.42,5.04%,29640.00,是
600186.SH,,2025-02-12,7.47,7.49,0.27%,1654.00,是
600845.SH,,2025-02-13,33.80,35.00,3.55%,21960.00,是
000880.SZ,,2025-02-17,23.70,22.88,-3.46%,-22140.00,否
603516.SH,,2025-02-18,56.12,54.88,-2.21%,-13640.00,否
601777.SH,,2025-02-20,8.69,8.75,0.69%,4182.00,是
002272.SZ,,2025-02-21,11.48,12.20,6.27%,38232.00,是
002261.SZ,,2025-02-24,42.12,41.99,-0.31%,-1989.00,否
603507.SH,,2025-02-27,26.51,26.06,-1.70%,-10935.00,否
000759.SZ,,2025-02-28,10.28,10.12,-1.56%,-9888.00,否
002759.SZ,,2025-03-04,9.50,8.98,-5.47%,-34216.00,否
601020.SH,,2025-03-05,17.36,20.18,16.24%,95880.00,是
603809.SH,,2025-03-06,17.92,18.28,2.01%,13788.00,是
000997.SZ,,2025-03-07,25.65,24.70,-3.70%,-25935.00,否
605100.SH,,2025-03-11,28.80,31.57,9.62%,64818.00,是
002195.SZ,,2025-03-12,7.15,6.31,-11.75%,-86856.00,否
002851.SZ,,2025-03-13,68.80,68.49,-0.45%,-2914.00,否
600429.SH,,2025-03-17,4.68,4.54,-2.99%,-19446.00,否
002048.SZ,,2025-03-18,18.70,18.42,-1.50%,-9436.00,否
603966.SH,,2025-03-19,9.40,9.45,0.53%,3300.00,是
600579.SH,,2025-03-24,9.35,9.53,1.93%,12024.00,是
000541.SZ,,2025-03-25,8.58,8.82,2.80%,17808.00,是
600593.SH,,2025-03-27,36.50,37.21,1.95%,12709.00,是
601069.SH,,2025-03-31,15.49,16.96,9.49%,63210.00,是
603072.SH,,2025-04-03,49.04,58.21,18.70%,135716.00,是
002165.SZ,,2025-04-07,7.30,7.10,-2.74%,-23720.00,否
600354.SH,,2025-04-08,6.38,7.27,13.95%,117480.00,是
000716.SZ,,2025-04-09,6.43,6.67,3.73%,35808.00,是
603069.SH,,2025-04-10,18.41,19.12,3.86%,38340.00,是
002685.SZ,,2025-04-14,6.44,6.64,3.11%,32100.00,是
600590.SH,,2025-04-15,10.50,9.09,-13.43%,-143115.00,否
001368.SZ,,2025-04-18,23.50,21.93,-6.68%,-61544.00,否
002796.SZ,,2025-04-21,12.00,11.68,-2.67%,-22944.00,否
001337.SZ,,2025-04-22,27.29,25.90,-5.09%,-42673.00,否
600800.SH,,2025-04-25,3.35,3.16,-5.67%,-45125.00,否
002068.SZ,,2025-04-28,11.90,11.23,-5.63%,-42210.00,否
603986.SH,,2025-04-30,126.93,130.65,2.93%,20460.00,是
000665.SZ,,2025-05-06,5.01,5.12,2.20%,15994.00,是
603286.SH,,2025-05-07,37.60,35.18,-6.44%,-47916.00,否
002977.SZ,,2025-05-08,34.95,40.25,15.16%,105470.00,是
603338.SH,,2025-05-13,51.99,48.29,-7.12%,-56980.00,否
000710.SZ,,2025-05-14,13.99,13.62,-2.64%,-19684.00,否
002961.SZ,,2025-05-15,16.73,16.43,-1.79%,-12990.00,否
605188.SH,,2025-05-19,13.65,15.41,12.89%,91872.00,是
600530.SH,,2025-05-20,8.00,8.25,3.12%,25125.00,是
002882.SZ,,2025-05-21,19.20,21.95,14.32%,118800.00,是
002365.SZ,,2025-05-22,17.84,20.36,14.13%,133812.00,是
605033.SH,,2025-05-23,19.79,19.37,-2.12%,-22932.00,否
002727.SZ,,2025-05-26,19.50,18.85,-3.33%,-35295.00,否
603960.SH,,2025-05-27,22.43,21.23,-5.35%,-54720.00,否
003042.SZ,,2025-05-28,18.20,17.01,-6.54%,-63308.00,否
603011.SH,,2025-05-29,17.94,19.24,7.25%,65650.00,是
002317.SZ,,2025-05-30,13.88,13.60,-2.02%,-19600.00,否
603518.SH,,2025-06-04,11.85,13.43,13.33%,126874.00,是
603238.SH,,2025-06-05,18.81,17.17,-8.72%,-93972.00,否
002250.SZ,,2025-06-06,12.02,14.08,17.14%,168714.00,是
600151.SH,,2025-06-09,7.39,7.06,-4.47%,-51513.00,否
002640.SZ,,2025-06-10,5.15,5.11,-0.78%,-8560.00,否
603906.SH,,2025-06-11,15.38,14.12,-8.19%,-89586.00,否
002734.SZ,,2025-06-12,22.70,19.80,-12.78%,-128180.00,否
002365.SZ,,2025-06-13,23.46,27.19,15.90%,139129.00,是
603688.SH,,2025-06-17,35.78,34.02,-4.92%,-49808.00,否
603256.SH,,2025-06-23,13.85,13.90,0.36%,3480.00,是
600201.SH,,2025-06-24,7.95,8.11,2.01%,19488.00,是
603119.SH,,2025-06-25,43.21,46.05,6.57%,64752.00,是
603123.SH,,2025-06-26,14.60,15.05,3.08%,32445.00,是
002579.SZ,,2025-06-30,14.50,14.18,-2.21%,-23936.00,否
600684.SH,,2025-07-01,4.47,4.42,-1.12%,-11870.00,否
603124.SH,,2025-07-02,53.46,53.85,0.73%,7644.00,是
600438.SH,,2025-07-03,18.07,18.11,0.22%,2340.00,是
002938.SZ,,2025-07-04,35.81,38.05,6.26%,66080.00,是
002201.SZ,,2025-07-07,7.90,9.08,14.94%,168150.00,是
002366.SZ,,2025-07-08,9.91,9.86,-0.50%,-6525.00,否
002865.SZ,,2025-07-09,42.80,45.11,5.40%,69300.00,是
002623.SZ,,2025-07-14,26.58,26.01,-2.14%,-29070.00,否
603617.SH,,2025-07-17,8.05,8.58,6.58%,87397.00,是
002246.SZ,,2025-07-18,16.70,19.57,17.19%,243089.00,是
600629.SH,,2025-07-21,10.34,11.58,11.99%,198772.00,是
600585.SH,,2025-07-22,25.74,27.00,4.90%,90846.00,是
601699.SH,,2025-07-23,13.55,13.95,2.95%,57480.00,是
603716.SH,,2025-07-24,28.60,32.93,15.14%,303533.00,是
