股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603004.SH,,2024-09-03,19.44,21.69,11.57%,22950.00,是
600686.SH,,2024-09-06,14.46,13.77,-4.77%,-10626.00,否
000516.SZ,,2024-09-10,4.78,4.44,-7.11%,-15096.00,否
003015.SZ,,2024-09-11,13.55,13.37,-1.33%,-2610.00,否
002866.SZ,,2024-09-13,13.97,13.00,-6.94%,-13483.00,否
002466.SZ,,2024-09-25,28.11,27.72,-1.39%,-2496.00,否
600239.SH,,2024-09-27,2.50,2.90,16.00%,28560.00,是
002050.SZ,,2024-09-30,22.76,26.05,14.46%,29939.00,是
002119.SZ,,2024-10-09,13.85,13.77,-0.58%,-1368.00,否
603052.SH,,2024-10-11,37.20,37.00,-0.54%,-1260.00,否
000801.SZ,,2024-10-15,10.18,11.80,15.91%,37260.00,是
002630.SZ,,2024-10-16,3.08,3.40,10.39%,28224.00,是
000402.SZ,,2024-10-17,3.50,3.12,-10.86%,-32566.00,否
002625.SZ,,2024-10-18,32.69,38.28,17.10%,45279.00,是
600418.SH,,2024-10-21,34.00,35.49,4.38%,13559.00,是
600100.SH,,2024-10-22,7.20,7.38,2.50%,8154.00,是
601162.SH,,2024-10-23,5.51,5.75,4.36%,14544.00,是
000595.SZ,,2024-10-24,10.10,9.70,-3.96%,-13800.00,否
002542.SZ,,2024-10-25,2.69,3.50,30.11%,100845.00,是
600696.SH,,2024-10-28,14.99,16.53,10.27%,44660.00,是
002423.SZ,,2024-10-30,19.11,21.50,12.51%,59989.00,是
002321.SZ,,2024-10-31,2.19,2.36,7.76%,41956.00,是
002513.SZ,,2024-11-01,5.40,6.14,13.70%,79772.00,是
002568.SZ,,2024-11-04,24.15,25.33,4.89%,32332.00,是
603019.SH,,2024-11-05,68.06,70.82,4.06%,28152.00,是
600751.SH,,2024-11-06,3.18,3.06,-3.77%,-27276.00,否
603489.SH,,2024-11-07,26.88,25.06,-6.77%,-46956.00,否
600536.SH,,2024-11-08,62.48,67.59,8.18%,52633.00,是
002992.SZ,,2024-11-11,65.43,72.56,10.90%,76291.00,是
603009.SH,,2024-11-12,31.52,30.14,-4.38%,-33948.00,否
