股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603004.SH,,2024-09-03,19.44,21.30,9.57%,18972.00,是
603920.SH,,2024-09-06,22.72,21.45,-5.59%,-12192.00,否
000516.SZ,,2024-09-10,4.78,4.39,-8.16%,-16848.00,否
003015.SZ,,2024-09-11,13.55,12.75,-5.90%,-11200.00,否
002866.SZ,,2024-09-13,13.97,12.75,-8.73%,-15494.00,否
002129.SZ,,2024-09-25,8.44,8.79,4.15%,6755.00,是
603345.SH,,2024-09-27,86.77,97.62,12.50%,20615.00,是
002050.SZ,,2024-09-30,22.76,26.20,15.11%,28552.00,是
002119.SZ,,2024-10-09,13.85,13.68,-1.23%,-2686.00,否
603052.SH,,2024-10-11,37.20,37.00,-0.54%,-1160.00,否
600601.SH,,2024-10-15,3.55,3.40,-4.23%,-9090.00,否
002630.SZ,,2024-10-16,3.08,3.31,7.47%,15387.00,是
000810.SZ,,2024-10-17,11.30,11.87,5.04%,11172.00,是
002625.SZ,,2024-10-18,32.69,38.28,17.10%,39689.00,是
600418.SH,,2024-10-21,34.00,35.50,4.41%,12000.00,是
600100.SH,,2024-10-22,7.20,7.53,4.58%,13035.00,是
601162.SH,,2024-10-23,5.51,5.90,7.08%,21021.00,是
000595.SZ,,2024-10-24,10.10,9.99,-1.09%,-3465.00,否
002542.SZ,,2024-10-25,2.69,3.50,30.11%,94851.00,是
600696.SH,,2024-10-28,14.99,17.85,19.08%,78078.00,是
002423.SZ,,2024-10-30,19.11,21.85,14.34%,69870.00,是
002321.SZ,,2024-10-31,2.19,2.32,5.94%,33111.00,是
600316.SH,,2024-11-01,38.99,36.00,-7.67%,-45149.00,否
002568.SZ,,2024-11-04,24.15,25.71,6.46%,35256.00,是
603019.SH,,2024-11-05,68.06,70.54,3.64%,21080.00,是
600316.SH,,2024-11-06,40.60,38.30,-5.67%,-34040.00,否
603489.SH,,2024-11-07,26.88,24.66,-8.26%,-46842.00,否
600696.SH,,2024-11-08,17.95,16.11,-10.25%,-53360.00,否
002992.SZ,,2024-11-11,65.43,73.20,11.88%,55167.00,是
603009.SH,,2024-11-12,31.52,30.24,-4.06%,-21120.00,否
000795.SZ,,2024-11-13,15.27,10.84,-29.01%,-145304.00,否
