股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603004.SH,,2024-09-03,19.44,21.30,9.57%,18972.00,是
603920.SH,,2024-09-06,22.72,21.45,-5.59%,-12192.00,否
002952.SZ,,2024-09-10,22.19,20.87,-5.95%,-12276.00,否
003015.SZ,,2024-09-11,13.55,12.75,-5.90%,-11440.00,否
002866.SZ,,2024-09-13,13.97,12.75,-8.73%,-15982.00,否
002129.SZ,,2024-09-25,8.44,8.79,4.15%,6895.00,是
002410.SZ,,2024-09-27,11.74,13.50,14.99%,26048.00,是
002050.SZ,,2024-09-30,22.76,26.20,15.11%,29928.00,是
002119.SZ,,2024-10-09,13.85,13.68,-1.23%,-2822.00,否
603052.SH,,2024-10-11,37.20,37.00,-0.54%,-1220.00,否
000801.SZ,,2024-10-15,10.18,10.63,4.42%,9945.00,是
002630.SZ,,2024-10-16,3.08,3.31,7.47%,17595.00,是
603053.SH,,2024-10-17,10.15,9.53,-6.11%,-15438.00,否
600990.SH,,2024-10-18,26.18,27.02,3.21%,7560.00,是
600418.SH,,2024-10-21,34.00,35.50,4.41%,10800.00,是
600100.SH,,2024-10-22,7.20,7.53,4.58%,11748.00,是
601162.SH,,2024-10-23,5.51,5.90,7.08%,18954.00,是
000595.SZ,,2024-10-24,10.10,9.99,-1.09%,-3124.00,否
002542.SZ,,2024-10-25,2.69,3.50,30.11%,85455.00,是
600696.SH,,2024-10-28,14.99,17.85,19.08%,70356.00,是
000701.SZ,,2024-10-30,5.35,5.29,-1.12%,-4926.00,否
600353.SH,,2024-10-31,9.68,10.18,5.17%,22450.00,是
600316.SH,,2024-11-01,38.99,36.00,-7.67%,-34983.00,否
002568.SZ,,2024-11-04,24.15,25.71,6.46%,27144.00,是
603019.SH,,2024-11-05,68.06,70.54,3.64%,16368.00,是
600751.SH,,2024-11-06,3.18,3.14,-1.26%,-5856.00,否
603489.SH,,2024-11-07,26.88,24.66,-8.26%,-37962.00,否
603290.SH,,2024-11-08,110.30,113.00,2.45%,10260.00,是
002992.SZ,,2024-11-11,65.43,73.20,11.88%,51282.00,是
603009.SH,,2024-11-12,31.52,30.24,-4.06%,-19584.00,否
000795.SZ,,2024-11-13,15.27,10.84,-29.01%,-134229.00,否
